OA: 0.9836  MP: 0.8585  MR: 0.9874  MIoU: 0.8479  FWIoU: 0.9718  MDice: 0.9184  ID: Sc_77
OA: 0.9832  MP: 0.8726  MR: 0.8026  MIoU: 0.7468  FWIoU: 0.9694  MDice: 0.8361  ID: Sc_80
OA: 0.9937  MP: 0.9682  MR: 0.9147  MIoU: 0.8918  FWIoU: 0.9877  MDice: 0.9407  ID: Sc_84
OA: 0.9925  MP: 0.9760  MR: 0.9468  MIoU: 0.9270  FWIoU: 0.9852  MDice: 0.9612  ID: Sc_85
OA: 0.9796  MP: 0.7979  MR: 0.9603  MIoU: 0.7773  FWIoU: 0.9671  MDice: 0.8716  ID: Sc_88
OA: 0.9820  MP: 0.9270  MR: 0.9212  MIoU: 0.8660  FWIoU: 0.9664  MDice: 0.9241  ID: Sc_90
OA: 0.9882  MP: 0.9622  MR: 0.9499  MIoU: 0.9181  FWIoU: 0.9773  MDice: 0.9560  ID: Sc_92
OA: 0.9933  MP: 0.9686  MR: 0.9799  MIoU: 0.9505  FWIoU: 0.9870  MDice: 0.9742  ID: Sc_94

mean_Test_OA: 0.9665
mean_Test_MP: 0.9040
mean_Test_MR: 0.8851
mean_Test_MIoU: 0.8256
mean_Test_FWIoU: 0.9396
mean_Test_MDice: 0.8924
